Location,Location URI
"pisa, italy",http://history.archives.mbl.edu/concepts/location/3aec0591-f666-4c55-9f21-27cc00410dba
bloomington,http://history.archives.mbl.edu/concepts/location/2c5d8d58-8312-4147-8abb-1e1092820cc6
"elizabth, nj",http://history.archives.mbl.edu/concepts/location/d6287d11-a781-420d-a8fe-da5600e4a315
"nela park, cleveland, oh",http://history.archives.mbl.edu/concepts/location/714a1a15-808c-41d7-b4ce-5cc51da25eb8
"kearsage village, nh",http://history.archives.mbl.edu/concepts/location/2b8f7ac2-3684-4e03-89a5-61785b328490
peoples' republic of china,http://history.archives.mbl.edu/concepts/location/e19944d8-ebc8-4729-8f43-01deecc290f9
whitewater,http://history.archives.mbl.edu/concepts/location/b5cff20f-a8b1-4d81-b5d7-2c0035594a07
amherst,http://history.archives.mbl.edu/concepts/location/9d24ea7e-813b-4505-9f2f-1870e8227f3e
la jolla,http://history.archives.mbl.edu/concepts/location/76b60065-00d7-444d-b443-ad349d39e32d
"montreal, can",http://history.archives.mbl.edu/concepts/location/f97ff932-ceb4-4aa1-b7fe-5bb7f5ff659f
"greenfield, ma",http://history.archives.mbl.edu/concepts/location/c1537235-5e6e-4011-bdfa-1395c1fbfe2b
"ft. lauderdale, fl",http://history.archives.mbl.edu/concepts/location/7c0d2dea-5aaf-45b7-87a8-56d43926de6b
"bonn, germany",http://history.archives.mbl.edu/concepts/location/a8f04a0d-b143-442c-92c4-bf315ebd088b
"poughkeepsi, ny",http://history.archives.mbl.edu/concepts/location/47ce7b9e-f72e-42af-8d7b-9df8bbbe1190
"shreveport, la",http://history.archives.mbl.edu/concepts/location/002ade68-1f7f-4d1e-b5d1-c69cd4d2c1d3
"villefranche, france",http://history.archives.mbl.edu/concepts/location/63587fc3-0b3d-454e-bab2-c4bcf24a5abc
"6i7 third st., brooklyn, ny",http://history.archives.mbl.edu/concepts/location/48a2eb1b-6d28-419e-bbce-de6d7efa9077
"frankford, pa",http://history.archives.mbl.edu/concepts/location/dca5abe0-cb62-47d4-b38d-e675960b46a6
"konstanz, germany",http://history.archives.mbl.edu/concepts/location/020d6559-d8b0-4b12-935e-9484c4a00fe6
indiana,http://history.archives.mbl.edu/concepts/location/3f0d0334-9397-4c5e-b497-d04c4e625336
"rivendale, ny",http://history.archives.mbl.edu/concepts/location/9f556f6a-d0ba-402e-b421-a8c70eb4ac6f
"i35 west 87th st., new york, ny",http://history.archives.mbl.edu/concepts/location/b22e9ba5-dc39-46db-8d3a-749620147e07
brooklyn college,http://history.archives.mbl.edu/concepts/location/9268fe91-720b-4a69-ba17-a5626548b1f2
"st. louis, mo.",http://history.archives.mbl.edu/concepts/location/f3fcbdf8-5140-4dff-8818-f6ba383c0af4
tampa,http://history.archives.mbl.edu/concepts/location/eff7b644-5961-43f4-ae6e-45199cfb21a9
ma,http://history.archives.mbl.edu/concepts/location/f4aea2e3-b7db-4171-83f3-345c73cea71a
"murray hill, nj",http://history.archives.mbl.edu/concepts/location/f2ed6f73-d3d8-4d0d-9b6b-35a7d7d3b8af
mn,http://history.archives.mbl.edu/concepts/location/6e9d5eb3-4e84-4401-9f55-be083a03f727
mi,http://history.archives.mbl.edu/concepts/location/64a62fd3-60d7-4ae9-870b-90b15c88bb84
"west lafayette, ind",http://history.archives.mbl.edu/concepts/location/3afffa3a-548a-455f-aac7-414792771e2c
rio piedras,http://history.archives.mbl.edu/concepts/location/8671a7ed-5cc4-4bf0-b958-48642eb27a90
ann arbor,http://history.archives.mbl.edu/concepts/location/8908ee3c-9c48-4a29-be81-64e872c43543
"washington, dc",http://history.archives.mbl.edu/concepts/location/ec6c6a46-ac5d-4b43-b91b-77f2540a277b
"nantucket, mass",http://history.archives.mbl.edu/concepts/location/505b9910-823f-4ecf-a1c6-ec7479d6755c
"sundbyberg, sweden",http://history.archives.mbl.edu/concepts/location/2609b8a4-90e1-4805-9482-227480c1d216
in,http://history.archives.mbl.edu/concepts/location/c5039ac9-82d4-43cc-86f0-95f5149e3638
india,http://history.archives.mbl.edu/concepts/location/8b0f68d1-9a74-42c4-9aef-ec864ab35164
"i9 orlando ave., arlington, ma 0iii74",http://history.archives.mbl.edu/concepts/location/d3c5e0d9-7cf6-4ee1-82c7-fe86149c26a7
school of medicine.,http://history.archives.mbl.edu/concepts/location/ae3b04eb-a07b-44cb-ac3e-c69fe8b8ec24
new jersey.,http://history.archives.mbl.edu/concepts/location/660b26fe-f84c-4aa4-a17f-91660e474d34
"wales, uk",http://history.archives.mbl.edu/concepts/location/193345fa-3557-443f-8876-d0476494b712
"archdiocese, new york city",http://history.archives.mbl.edu/concepts/location/e8115973-d72d-41a5-90c2-881a1d875ef2
"54 dale street, roxbury, ma",http://history.archives.mbl.edu/concepts/location/bc220bb4-7cc8-4d6c-b732-f7c1033e37ed
purchase,http://history.archives.mbl.edu/concepts/location/9df0dad1-0740-451c-aa7b-f6a99bb4c083
the city universityof new york,http://history.archives.mbl.edu/concepts/location/92315005-2bf0-4366-9175-ef788e6ea45c
"orleans, ma",http://history.archives.mbl.edu/concepts/location/ea1e8a07-c6f7-496c-ad61-b62d45bbe096
"kingston, ontario",http://history.archives.mbl.edu/concepts/location/9a307eca-fcc8-45f3-84df-ff78b25bf641
"utrecht, holland",http://history.archives.mbl.edu/concepts/location/0a61da36-d337-4623-b7dc-442d85e254d4
"ii95 pennsylvania ave., brooklyn, ny",http://history.archives.mbl.edu/concepts/location/c00ef7cb-bd86-4e2b-9464-c3a082d4c5c9
"san francisco, cal",http://history.archives.mbl.edu/concepts/location/244dbcf1-0fa0-4d81-b2bb-2e6ef1a9fef7
"936 beacon street, brookline, ma",http://history.archives.mbl.edu/concepts/location/e8b5fe9c-9640-4d2f-9601-6d68148e4bd0
"baltimore, md",http://history.archives.mbl.edu/concepts/location/d285e6f6-2379-4e5d-ab9c-9df849fae093
"south braintree, ma",http://history.archives.mbl.edu/concepts/location/cd6275ca-266b-421f-b2eb-289f9f111bac
rhode island,http://history.archives.mbl.edu/concepts/location/ae8a7854-c648-473e-bea7-1d3dcc434919
"ii54i michigan ave, chicago, il",http://history.archives.mbl.edu/concepts/location/9f3621b3-a032-4e88-8125-e03053b22bd5
london,http://history.archives.mbl.edu/concepts/location/5d113b18-73ff-4ec3-ab44-818f68fdf9d3
chapell hill,http://history.archives.mbl.edu/concepts/location/059e2cfe-0720-45c1-a315-291e6ce47754
japan,http://history.archives.mbl.edu/concepts/location/9576754e-43b6-4fad-b0c0-f271a1bfabbc
"ontario, cananda",http://history.archives.mbl.edu/concepts/location/dd1f2952-878b-4d49-802a-1664e1d1a205
"napoli, italy",http://history.archives.mbl.edu/concepts/location/f8b71a89-408e-4b3e-b374-bd66376a02fc
polytechnic institute,http://history.archives.mbl.edu/concepts/location/348e7fae-a7d0-457a-89d1-6cec02d6282f
at buffalo,http://history.archives.mbl.edu/concepts/location/6cf17e34-f47e-497e-969e-b831ce688a4d
denver,http://history.archives.mbl.edu/concepts/location/4221c984-4500-456d-a8f3-63cee5bf495e
"568 fifth ave, new york, ny",http://history.archives.mbl.edu/concepts/location/1f350219-6493-4fb7-8319-f51e46a731ce
wales,http://history.archives.mbl.edu/concepts/location/045cc21a-0c24-42f0-972a-bfebd8539ce5
"hackettstown, nj",http://history.archives.mbl.edu/concepts/location/85e77ab7-8e02-4a30-b37f-c8c7f9a87b58
"iii4 woodbine st., providence, ri",http://history.archives.mbl.edu/concepts/location/8971f713-e066-4364-810c-623074304bba
national institute of mental health,http://history.archives.mbl.edu/concepts/location/c1f537c8-ac4e-4b07-b369-1a815c17df2d
"indianola, ia",http://history.archives.mbl.edu/concepts/location/344468a9-c67a-44dd-aa43-4ff5c877effc
"dallas, tx",http://history.archives.mbl.edu/concepts/location/a35d3a52-4544-48d9-baaf-9bcb4a3688da
graduate assistant,http://history.archives.mbl.edu/concepts/location/9383668c-4b21-4007-89b0-81fefb20327d
"gottingen, frg",http://history.archives.mbl.edu/concepts/location/94824d28-31f3-4719-a133-437143598623
"40 west 85th st., new york, ny",http://history.archives.mbl.edu/concepts/location/01bf5f78-c6b8-4659-b6f9-63c256757e26
netherlands,http://history.archives.mbl.edu/concepts/location/a7ee5955-8403-43ec-843c-533f57c137f8
w. germany,http://history.archives.mbl.edu/concepts/location/50ffec95-fa07-4ec9-94b3-28d3b4eeca09
"winthrop, ma",http://history.archives.mbl.edu/concepts/location/9c166a66-ce56-4600-9ed5-c781fd6015f2
"ross street, germantown, pa",http://history.archives.mbl.edu/concepts/location/ae5d2913-6bdc-4876-959d-d10bc65090bb
"rehovot, israel",http://history.archives.mbl.edu/concepts/location/8a023c44-323c-4e43-a64f-3ce1b8619713
"weyers cave, va",http://history.archives.mbl.edu/concepts/location/1cff4391-b68c-4bc5-9b38-2fcdfb9bfb66
"98 morningside ave., new york, ny",http://history.archives.mbl.edu/concepts/location/6fc0d64e-af81-4bd1-bc8d-7bd97ff4c926
"milano, italy",http://history.archives.mbl.edu/concepts/location/5ccd6865-003d-408b-afa8-da43347667e1
"box 339, poughkeepsie, ny",http://history.archives.mbl.edu/concepts/location/efbcfe0a-d135-4db9-a5a2-c60fa6c5480f
jugoslavia,http://history.archives.mbl.edu/concepts/location/1a0bcfca-80d9-4c12-a4ca-67caece9cbec
"ii65 5th ave., new york city, ny",http://history.archives.mbl.edu/concepts/location/5ab085f1-5a5d-4b9b-bb9f-9efa581ec572
"staunton, va",http://history.archives.mbl.edu/concepts/location/94762c46-d075-454e-a6ae-eeadfa017f2e
"ii8 andrews street, woonsocket, ri",http://history.archives.mbl.edu/concepts/location/f96a5fa5-13c9-4290-9d30-deb1a5e932b0
"wellessley, ma",http://history.archives.mbl.edu/concepts/location/d434cc8c-103f-4cc8-b294-6c6a8ff69385
"east columbus, oh",http://history.archives.mbl.edu/concepts/location/2d8a1b7c-000a-41ba-a444-54c91dbe5245
"munich, germnay",http://history.archives.mbl.edu/concepts/location/86b9c167-f34f-4f56-af6e-122d684a07aa
chapil hill,http://history.archives.mbl.edu/concepts/location/c76f386a-48f7-48b9-98ce-2fa5a74f7ee9
"simla, india",http://history.archives.mbl.edu/concepts/location/e72244c9-c6e9-4eb0-b0f5-067a78b51e7a
urbana,http://history.archives.mbl.edu/concepts/location/b5653046-bf5b-42e7-aedf-1aaa865ad5fa
"i7i9 mcculloh street, baltimore, md",http://history.archives.mbl.edu/concepts/location/596f4e1b-9312-4451-bd57-5e81781014fd
"istanbul, turkey",http://history.archives.mbl.edu/concepts/location/8bc37f81-c34b-46bd-8180-3d5fe571e814
venezuela,http://history.archives.mbl.edu/concepts/location/61072a63-c5b6-4d12-8c30-b0ebf9b6360d
"itaca, ny",http://history.archives.mbl.edu/concepts/location/7ffced91-fd94-45c9-903f-2791bc2abfd5
"utrecht, the netherlands",http://history.archives.mbl.edu/concepts/location/6f59518e-da70-4e87-9c14-55f8e26efcf9
"newton centre, ma",http://history.archives.mbl.edu/concepts/location/949b5b78-6045-4a1f-a06f-e0f1671c14ff
"emporia, ks",http://history.archives.mbl.edu/concepts/location/e40cd297-f53f-4d5d-bc9c-ef713bdc5815
"49 crescent street, montreal, canada",http://history.archives.mbl.edu/concepts/location/d99d7233-510f-42a8-924c-235e402195f7
"berlin, germany",http://history.archives.mbl.edu/concepts/location/da11a132-28da-4417-9a33-7924592c92c8
"platteville, wi",http://history.archives.mbl.edu/concepts/location/12bd2f34-a50c-48d6-aa39-beec408a5e60
"pratt, ks",http://history.archives.mbl.edu/concepts/location/b414e787-d391-479a-81d2-a6f8552174c1
venezuala,http://history.archives.mbl.edu/concepts/location/cd00b877-f048-477e-8a59-bb38d0ef8872
"i37 main street, andover, ma",http://history.archives.mbl.edu/concepts/location/1f53021e-c3b0-4c60-8b2c-7ac422f4c4b7
"gales ferry, ct",http://history.archives.mbl.edu/concepts/location/5d655d3d-c196-4a0a-8279-8a38b2031121
"orono, me",http://history.archives.mbl.edu/concepts/location/34809849-3306-4769-b42f-85580ad802b7
"iii3 chiswick road, boston, ma",http://history.archives.mbl.edu/concepts/location/5e50bac3-bbd5-4f5d-af91-211650da1c1e
"bronx, new york, ny",http://history.archives.mbl.edu/concepts/location/e4f145be-58fb-4b9a-ad3a-c3e4fc21a9a1
long island,http://history.archives.mbl.edu/concepts/location/ef143c71-bba0-43f5-bc05-738fdbded168
"new brunswick, canada",http://history.archives.mbl.edu/concepts/location/22d7929b-5896-4510-8d48-13a023fe573d
"carthage, ny",http://history.archives.mbl.edu/concepts/location/cf28fd4e-0875-4b3e-8b8b-57e1e2b6820d
"4i76 leidy ave., philadelphia, pa",http://history.archives.mbl.edu/concepts/location/d95baa6d-f1e7-46ec-85ef-8e202eadd4de
"gambier, oh",http://history.archives.mbl.edu/concepts/location/29f61a61-f179-4943-9c09-a95a3d3414fc
"winchester, mass",http://history.archives.mbl.edu/concepts/location/1a4b8a12-568d-48bc-9883-9dff4d4abe6e
rumania.,http://history.archives.mbl.edu/concepts/location/1c21f7a5-61b1-43ef-9ad2-125417044194
heights,http://history.archives.mbl.edu/concepts/location/e1658bbb-e398-4490-94a7-a188713e0a8a
new york,http://history.archives.mbl.edu/concepts/location/103d5e53-b4b8-4474-8ef3-8678479d16e4
iscrael,http://history.archives.mbl.edu/concepts/location/391fbd88-5b1a-4dbd-8730-f039a466a601
institute of industrial medicine,http://history.archives.mbl.edu/concepts/location/d33b8473-e754-4c4a-bfcf-6c77fc6c3d2b
"7 west mt. vernon place, baltimore, md",http://history.archives.mbl.edu/concepts/location/1b1eb7f7-d8c7-4ec9-ba71-439b82b0ef82
"beaumont, belgium",http://history.archives.mbl.edu/concepts/location/3c1d45b9-595e-4cd8-b921-29f5eff45334
"belgrade, servia",http://history.archives.mbl.edu/concepts/location/a041e8a2-84e0-488d-ae2c-0d374690f82e
"brewster, ma",http://history.archives.mbl.edu/concepts/location/4492fc23-d7c6-42a1-b346-3908c184016a
pacific biomedical research center,http://history.archives.mbl.edu/concepts/location/0f40fef8-1e31-4cd7-906c-2bfd81f70819
cold spring harbor.,http://history.archives.mbl.edu/concepts/location/5d06f2eb-de65-4dbb-96ca-2f19a0552367
"windsor, vt",http://history.archives.mbl.edu/concepts/location/5e4a8f44-18bd-49ed-adad-0373857e65dc
"washington, pa",http://history.archives.mbl.edu/concepts/location/2a1e82f6-9186-4186-9ce7-ad70ef26e28f
honolulu,http://history.archives.mbl.edu/concepts/location/e3084ff8-7a1b-427b-a980-dc2420dd8a03
"national institute of neurological diseases and stroke, national institute of health",http://history.archives.mbl.edu/concepts/location/cfaa4fe1-b9ef-463c-8b70-b2d8f3decb7f
brazil.,http://history.archives.mbl.edu/concepts/location/ba58d01d-1c5f-475a-9218-72779d4bddff
"436 manhattan avenue, new york, ny",http://history.archives.mbl.edu/concepts/location/47178696-58b1-4738-8b72-bc8e892ae042
toronto,http://history.archives.mbl.edu/concepts/location/b9d9ff80-6739-4638-a81b-991a1e7a20ff
stony brook,http://history.archives.mbl.edu/concepts/location/242567ef-9dc7-4b99-9166-142d1011efb4
"crescent road, riverside, ct",http://history.archives.mbl.edu/concepts/location/ddae783d-7b52-4d57-9a13-6d268c01ba9f
"swarthmore, pa",http://history.archives.mbl.edu/concepts/location/8bd09348-cd9a-4e6a-9b50-77ad81922932
"lawrence, ks",http://history.archives.mbl.edu/concepts/location/0997c138-ed2e-4e3b-b4a2-4190cbdc726a
"ithaca, ny",http://history.archives.mbl.edu/concepts/location/b7f6699c-469b-4747-a108-6a45b76c50a7
boston,http://history.archives.mbl.edu/concepts/location/65b2c3e1-68b4-42ef-90a3-0acadd317361
university of sao paulo,http://history.archives.mbl.edu/concepts/location/73b9077a-95c2-49b4-b5e2-bc4e65310bf8
cayetano,http://history.archives.mbl.edu/concepts/location/85b42f88-6ef0-47c0-97bc-8d012e0f7e75
san diego,http://history.archives.mbl.edu/concepts/location/abe5412d-6d7a-4330-9503-e98cd7ceaee5
the czech republic,http://history.archives.mbl.edu/concepts/location/48b8d9b7-033c-4c57-a454-8efbc6d59afb
"altona, germany",http://history.archives.mbl.edu/concepts/location/6e5431eb-74f9-4cad-8e0d-fc21a46f2dc7
"rio de janiero, brazil",http://history.archives.mbl.edu/concepts/location/eb553d75-3d10-4b9c-b4b6-3dad1b873874
"seoul, korea",http://history.archives.mbl.edu/concepts/location/8037cb8d-02af-4bb2-aec3-32a5834703c7
"placentia, ca",http://history.archives.mbl.edu/concepts/location/1e9accd8-01af-4239-b6f3-5cc824d5ae44
roumania,http://history.archives.mbl.edu/concepts/location/a6a8253f-a244-4df3-8f78-6d7d16b2d067
"memphis, tn",http://history.archives.mbl.edu/concepts/location/2912301c-1eea-4987-bf73-1f79d9ccd0e8
iceland,http://history.archives.mbl.edu/concepts/location/179396d0-6c16-4082-80d1-ff741d27a632
"oxford, ohio",http://history.archives.mbl.edu/concepts/location/17c9a813-70bd-4522-9b00-202708228cb7
germany,http://history.archives.mbl.edu/concepts/location/14d3d991-41ea-4952-8142-91831f44ca95
"i60 west 88 st, new york city ii4, new york",http://history.archives.mbl.edu/concepts/location/5d57160a-0f2e-4d6f-8b9c-5b8c0cf9715e
"raleigh, nc",http://history.archives.mbl.edu/concepts/location/1c2f91ea-3731-4da6-ab67-3323925fe5c8
medical,http://history.archives.mbl.edu/concepts/location/74283fa7-acb0-403e-82cb-df8d8c0f584c
"allegheny, pa",http://history.archives.mbl.edu/concepts/location/ed34a411-3e70-4600-883c-b0bca6d535a4
"princeton, nj",http://history.archives.mbl.edu/concepts/location/7e78d20a-8a49-4cf0-abae-e26a39654ff6
"cochituate, ma",http://history.archives.mbl.edu/concepts/location/ae5861e2-b0e9-4485-a329-f43586436c58
"tonganoxie, ks",http://history.archives.mbl.edu/concepts/location/17b2ab76-38bd-486c-839d-c3ce6ac4a41d
"troy, ny",http://history.archives.mbl.edu/concepts/location/ded80caf-6dd7-4793-9a00-b78b59bd49d2
swtizerland,http://history.archives.mbl.edu/concepts/location/877607fc-c09d-4e5a-af2a-0a321d66a577
"frankfurt, germany",http://history.archives.mbl.edu/concepts/location/1f1c025c-deda-404a-9d04-e45908cd6a38
hungary,http://history.archives.mbl.edu/concepts/location/47f32809-aa89-4add-b309-743b61cf4f8d
"ii57 newbury st., boston, ma",http://history.archives.mbl.edu/concepts/location/3025ce33-da22-4f1b-8d2c-bc2e99319432
"prague, czechoslovakia",http://history.archives.mbl.edu/concepts/location/b741faac-fb20-4f40-b32c-55d810b40daf
"sepulveda, ca",http://history.archives.mbl.edu/concepts/location/a2231c74-fe00-4516-9439-e67f8d4fffb5
"canton, oh",http://history.archives.mbl.edu/concepts/location/6d01b5da-9f64-4ba1-bf4e-e1ff5b6c17bb
university of buenos aires,http://history.archives.mbl.edu/concepts/location/8f9d308f-f6b3-44a3-b644-3bb2b63f0b8d
"frederica, de",http://history.archives.mbl.edu/concepts/location/af6cb8ed-2145-411a-ac5c-a64a738cf0fd
"wurzburg, germany",http://history.archives.mbl.edu/concepts/location/fc2741b2-78d7-43ab-8d08-ef0eae01eff2
new york city,http://history.archives.mbl.edu/concepts/location/7793394f-549d-4d49-bd77-0332fa7b9957
de,http://history.archives.mbl.edu/concepts/location/bca960cf-e0db-4ab4-a91e-f2e836fcb228
dc,http://history.archives.mbl.edu/concepts/location/d459a5b7-a3bf-4946-bcd5-af3161261d7f
"annandale-on-hudson, ny",http://history.archives.mbl.edu/concepts/location/477e8ae5-28a6-4b0e-957a-87ab1614ada9
st. louis,http://history.archives.mbl.edu/concepts/location/3740a3a4-d74a-4932-a79f-8de930f08b8b
"485 central park west, new york, ny",http://history.archives.mbl.edu/concepts/location/27925035-51bf-4305-9a17-62e610b59a8e
"brielle, nj",http://history.archives.mbl.edu/concepts/location/76560e55-cdcb-447b-b051-ff0cbb5fa3fb
nus,http://history.archives.mbl.edu/concepts/location/06139123-2ad7-463d-82ac-40b36a8c8458
"northfield, ma",http://history.archives.mbl.edu/concepts/location/7756b787-f346-44e2-89bb-574423c5f66d
"northfield, mn",http://history.archives.mbl.edu/concepts/location/5b457632-b920-487d-9857-b79b366ea6c9
brazil,http://history.archives.mbl.edu/concepts/location/0d2ab447-cb9a-4509-9c4e-1c56add0fb32
"fredericksburg, va",http://history.archives.mbl.edu/concepts/location/4db58d2d-62c2-4f64-b820-62010ac1b065
"vineyard haven, ma",http://history.archives.mbl.edu/concepts/location/deb61211-92bd-44bc-a2e2-aad12930ad98
"phoenix, az",http://history.archives.mbl.edu/concepts/location/5de997d9-364d-4668-b7fa-b83cc0ef9d41
"440ii pine st., philadelphia, pa",http://history.archives.mbl.edu/concepts/location/da12af4c-5dd4-4229-a987-4f8923188671
"bellingham, wa",http://history.archives.mbl.edu/concepts/location/3c7a4552-4259-4398-93b0-0e760a850085
center for marine science,http://history.archives.mbl.edu/concepts/location/8456857e-e7b7-4046-be1d-cff3bec3b6c9
the institute for cancer research,http://history.archives.mbl.edu/concepts/location/ee188a4f-2b8d-4ae1-bfa9-efdafb99d204
"norwich, ct",http://history.archives.mbl.edu/concepts/location/de718786-9264-4675-b4e5-c734a0429304
"la grange, il",http://history.archives.mbl.edu/concepts/location/4aeb165a-87c8-4ed5-9b38-b6a4e8f7e375
"new york, ny",http://history.archives.mbl.edu/concepts/location/2bd49356-699c-4f15-b0a1-60d212a14982
"armagh, northern ireland",http://history.archives.mbl.edu/concepts/location/53f4b945-7d2b-4572-b1a9-76e9a266d059
"mineola, ny",http://history.archives.mbl.edu/concepts/location/1446e9f4-cf31-45b1-8901-271a23562308
